"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J8";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05";;;
2;"C23,C25,C21,C17,C19,C24,C18,C20,C22,C10,C9,C7,C29";"C_0201_0603Metric";13;"100n";;;
3;"C16,C26,C8";"C_0201_0603Metric";3;"10u";;;
4;"H4,H1,H2,H3";"MountingHole_2.5mm";4;"MountingHole";;;
5;"R15,R14,R13,R26,R25";"R_0201_0603Metric";5;"0";;;
6;"R17,R19,R20,R16,R18,R11,R12,R7,R9,R10,R21,R22,R8,R23";"R_0201_0603Metric";14;"4k7";;;
7;"U4,U3";"Texas_S-PVQFN-N14";2;"OPA4330";;;
8;"C28,C27";"C_0201_0603Metric";2;"2.2u";;;
9;"U1";"LQFP-100_14x14mm_P0.5mm";1;"STM32H723VGT6";;;
10;"J4";"JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal";1;"Conn_01x04_MountingPin";;;
11;"J2";"PinHeader_1x04_P1.27mm_Vertical";1;"Conn_01x04";;;
12;"J5";"SAMTEC-SMH-110-02-X-D_SMD";1;"Conn_02x10_Top_Bottom";;;
13;"Y1";"Crystal_SMD_EuroQuartz_X22-4Pin_2.5x2.0mm";1;"25 MHz";;;
14;"U5";"DFN-8-1EP_3x3mm_P0.5mm_EP1.65x2.38mm";1;"LTC2580HDD";;;
15;"J3";"JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal";1;"Conn_01x08_MountingPin";;;
16;"Y2";"Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm";1;"32.768 kHz";;;
17;"U2";"LGA-24L_3x3.5mm_P0.43mm";1;"LSM9DS1TR";;;
18;"R2,R1,R6,R3,R5,R4";"R_0201_0603Metric";6;"560";;;
19;"C5,C3,C4,C2,C6,C1";"C_0201_0603Metric";6;"150p";;;
20;"C15,C14";"C_0201_0603Metric";2;"27p";;;
21;"J1";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
22;"C13,C12";"C_0201_0603Metric";2;"2p";;;
23;"P1";"HRS_DF40C-50DS-0.4V(51)";1;"DF40C-50DS-0.4V(51)";;;
24;"R24";"R_0201_0603Metric";1;"56";;;
25;"C11";"C_0201_0603Metric";1;"10n";;;
